person,income,sex,age,edu_num,cap_gain,hr_week
person1, <=50K, Male,39,13,2174,40
person2, <=50K, Male,50,13,0,13
person3, <=50K, Male,38,9,0,40
person4, <=50K, Male,53,7,0,40
person5, <=50K, Female,28,13,0,40
person6, <=50K, Female,37,14,0,40
person7, <=50K, Female,49,5,0,16
person8, >50K, Male,52,9,0,45
person9, >50K, Female,31,14,14084,50
person10, >50K, Male,42,13,5178,40
person11, >50K, Male,37,10,0,80
person12, >50K, Male,30,13,0,40
person13, <=50K, Female,23,13,0,30
person14, <=50K, Male,32,12,0,50
person15, >50K, Male,40,11,0,40
person16, <=50K, Male,34,4,0,45
person17, <=50K, Male,25,9,0,35
person18, <=50K, Male,32,9,0,40
person19, <=50K, Male,38,7,0,50
person20, >50K, Female,43,14,0,45
person21, >50K, Male,40,16,0,60
person22, <=50K, Female,54,9,0,20
person23, <=50K, Male,35,5,0,40
person24, <=50K, Male,43,7,0,40
person25, <=50K, Female,59,9,0,40
person26, >50K, Male,56,13,0,40
person27, <=50K, Male,19,9,0,40
person28, >50K, Male,54,10,0,60
person29, <=50K, Male,39,9,0,80
person30, <=50K, Male,49,9,0,40
person31, <=50K, Male,23,12,0,52
person32, <=50K, Male,20,10,0,44
person33, <=50K, Male,45,13,0,40
person34, <=50K, Male,30,10,0,40
person35, <=50K, Male,22,10,0,15
person36, <=50K, Male,48,7,0,40
person37, <=50K, Male,21,10,0,40
person38, <=50K, Female,19,9,0,25
person39, >50K, Male,31,10,0,38
person40, <=50K, Male,48,12,0,40
person41, <=50K, Male,31,5,0,43
person42, <=50K, Male,53,13,0,40
person43, <=50K, Male,24,13,0,50
person44, <=50K, Female,49,9,0,40
person45, <=50K, Male,25,9,0,35
person46, >50K, Male,57,13,0,40
person47, <=50K, Male,53,9,0,38
person48, <=50K, Female,44,14,0,40
person49, <=50K, Male,41,11,0,40
person50, <=50K, Male,29,11,0,43